,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
336,Haier,596 L,,,,no,4.5,190 Ratings,25 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹59,990","₹98,890",39% off
337,CANDY,240 L,Double Door,,3 Star,no,4.3,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹22,390","₹30,490",26% off
338,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"13,765 Ratings","1,151 Reviews",,yes,10 Years, 1 ,"₹16,390","₹22,999",28% off
339,Godrej,233 L,Double Door,,2 Star,no,4,,1 Reviews,Normal Compressor,,, 10 ,"₹22,790","₹32,000",28% off
340,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"13,916 Ratings","1,411 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
341,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
342,Haier,345 L,Double Door,,3 Star,no,4.3,"25,002 Ratings","2,543 Reviews",,yes,1 Year, 20 ,"₹34,900","₹68,100",48% off
343,Liebherr,191 L,Single Door, Direct Cool,4 Star,no,4.5,"5,271 Ratings",346 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,090","₹23,390",26% off
344,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"15,637 Ratings","1,110 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
345,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,,1 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
346,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,3.8,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹13,849","₹25,550",45% off
347,Whirlpool,190 L,Single Door, Direct Cool,4 Star,no,4.4,"7,898 Ratings",461 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,790","₹19,700",9% off
348,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,303 Ratings,25 Reviews,,yes,1 Year, 20 ,"₹17,490","₹22,999",23% off
349,SAMSUNG,236 L,Double Door,,2 Star,no,,,0 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹27,200","₹32,990",17% off
350,Whirlpool,215 L,Triple Door,,,no,4.3,"15,637 Ratings","1,110 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
351,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,609 Ratings,55 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹12,590","₹25,990",51% off
352,Whirlpool,184 L,Single Door, Direct Cool,4 Star,no,4.3,"65,317 Ratings","4,293 Reviews",,yes,1 Year, 10 ,"₹16,390","₹20,700",20% off
353,Hisense,688 L,,,,no,4.4,"19,653 Ratings","1,211 Reviews",Normal Compressor,,, 10 ,"₹61,990","₹1,29,990",52% off
354,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,48 Ratings,8 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
355,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,15 Ratings,5 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹13,990","₹21,590",35% off
356,Whirlpool,,Double Door,,2 Star,no,4,"15,637 Ratings","1,110 Reviews",,yes,1 Year, 10 ,"₹33,590","₹49,200",31% off
357,Whirlpool,200 L,Single Door, Direct Cool,3 Star,no,4.5,"12,736 Ratings","1,328 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹19,890","₹22,990",13% off
358,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Smart Inverter Compressor,yes,1 Year, 10 ,"₹16,490","₹21,450",23% off
359,LG,190 L,Single Door, Direct Cool,3 Star,no,4.5,10 Ratings,1 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹16,190","₹19,599",17% off
360,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"3,566 Ratings",237 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
361,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"12,919 Ratings",878 Reviews,,yes,1 Year, 9 ,"₹12,790","₹17,000",24% off
362,Lloyd,240 L,Double Door,,3 Star,no,3.9,"7,737 Ratings",550 Reviews,,yes,1 Year, 8 ,"₹24,290","₹40,890",40% off
363,Liebherr,265 L,Double Door,,3 Star,no,4.4,14 Ratings,0 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹27,590","₹40,160",31% off
364,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Reciprocatory Compressor,yes,1 Year, 10 ,"₹16,490","₹21,450",23% off
365,CANDY,205 L,Single Door, Direct Cool,3 Star,no,4.3,16 Ratings,0 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹15,290","₹20,990",27% off
366,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹15,490","₹21,750",28% off
367,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,"25,002 Ratings","2,543 Reviews",DC Inverter Compressor,yes,1 Year, 10 ,"₹14,990","₹20,500",26% off
368,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.2,473 Ratings,66 Reviews,Reciprocating Compressor,yes,1 Year, 5 ,"₹15,900","₹20,700",23% off
369,BPL,45 L,Single Door, Direct Cool,2 Star,no,,"5,271 Ratings",346 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹8,600","₹12,490",31% off
370,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹9,990","₹13,490",25% off
371,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,,1 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
372,Haier,190 L,Single Door, Direct Cool,2 Star,no,4.3,"3,758 Ratings",447 Reviews,Normal Compressor,yes,2 Years, 10 ,"₹13,300","₹18,199",26% off
373,Haier,235 L,Single Door, Direct Cool,2 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹18,790","₹24,790",24% off
374,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"13,916 Ratings","1,411 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹17,490","₹22,999",23% off
375,Whirlpool,467 L,Double Door,,2 Star,no,4.6,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹56,690","₹84,650",33% off
376,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹19,990","₹30,999",35% off
377,Whirlpool,215 L,Triple Door,,,no,4.3,678 Ratings,52 Reviews,Inverter Compressor,yes,1 year, 10 ,"₹23,990","₹30,150",20% off
378,Panasonic,304 L,Double Door,,3 Star,no,4.3,,0 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹31,790","₹56,000",43% off
379,Whirlpool,207 L,Single Door, Direct Cool,3 Star,no,,"15,637 Ratings","1,110 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹19,989","₹23,200",13% off
380,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"12,630 Ratings","1,393 Reviews",Normal Compressor,,, 10 ,"₹12,590","₹25,990",51% off
381,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"3,566 Ratings",237 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
382,Lloyd,178 L,Single Door, Direct Cool,2 Star,no,4.2,221 Ratings,30 Reviews,IntelliSense Inverter Compressor,yes,1 Year, 10 ,"₹11,890","₹16,990",30% off
383,Whirlpool,215 L,Single Door, Direct Cool,5 Star,no,4.4,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹26,990",,
384,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹16,390","₹22,999",28% off
385,Whirlpool,190 L,Single Door, Direct Cool,4 Star,no,4.4,395 Ratings,22 Reviews,Normal Compressor,,, 10 ,"₹17,790","₹19,700",9% off
386,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,15 Ratings,5 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹12,790","₹17,000",24% off
387,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹16,490","₹21,450",23% off
388,Godrej,244 L,Double Door,,3 Star,no,4.1,"25,002 Ratings","2,543 Reviews",,yes,1 Year, 10 ,"₹23,990","₹31,500",23% off
389,Haier,190 L,Single Door, Direct Cool,3 Star,no,4.3,,0 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹16,990","₹23,990",29% off
390,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"12,736 Ratings","1,328 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹15,490","₹21,750",28% off
391,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,1 Year, 5 ,"₹14,990","₹20,500",26% off
392,BPL,45 L,Single Door, Direct Cool,2 Star,no,,10 Ratings,1 Reviews,,yes,1 Year, 10 ,"₹8,600","₹12,490",31% off
393,Whirlpool,440 L,Double Door,,3 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹53,290","₹70,750",24% off
394,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"7,898 Ratings",461 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹9,990","₹13,490",25% off
395,Lloyd,252 L,Double Door,,2 Star,no,4.5,35 Ratings,1 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹27,449","₹29,990",8% off
396,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,220 Ratings,23 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
397,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Normal Compressor,yes,2 Years, 10 ,"₹17,490","₹22,999",23% off
398,Haier,215 L,Single Door, Direct Cool,3 Star,no,4.3,"19,653 Ratings","1,211 Reviews",,yes,1 Year, 8 ,"₹17,490","₹23,990",27% off
399,Liebherr,265 L,Double Door,,3 Star,no,4.4,395 Ratings,22 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹27,590","₹40,160",31% off
400,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"16,705 Ratings","1,279 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹19,990","₹30,999",35% off
401,Whirlpool,215 L,Triple Door,,,no,4.3,"3,566 Ratings",237 Reviews,,yes,1 year, 9 ,"₹23,990","₹30,150",20% off
402,Whirlpool,308 L,Double Door,,2 Star,no,3.7,395 Ratings,22 Reviews,Reciprocatory Compressor,yes,1 Year, 10 ,"₹35,324","₹48,600",27% off
403,CANDY,205 L,Single Door, Direct Cool,3 Star,no,4.3,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹15,290","₹20,990",27% off
404,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"12,919 Ratings",878 Reviews,DC Inverter Compressor,yes,1 Year, 10 ,"₹12,590","₹25,990",51% off
405,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.2,,0 Reviews,Normal Compressor,,, 10 ,"₹15,900","₹20,700",23% off
406,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,,1 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
407,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,"2,836 Ratings",310 Reviews,,yes,1 Year, 10 ,"₹13,990","₹21,590",35% off
408,LG,185 L,Single Door, Direct Cool,1 Star,no,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 Year, 10 ,"₹15,999","₹16,990",5% off
409,SAMSUNG,670 L,Double Door,,2 Star,no,4.5,,1 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹74,990","₹93,840",20% off
410,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"5,271 Ratings",346 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
411,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
412,Haier,205 L,Single Door, Direct Cool,3 Star,no,4.3,,1 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹17,490","₹25,990",32% off
413,Haier,190 L,Single Door, Direct Cool,4 Star,no,4.4,550 Ratings,82 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹19,500","₹23,500",17% off
414,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"25,002 Ratings","2,543 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
415,Haier,215 L,Single Door, Direct Cool,3 Star,no,4.3,123 Ratings,11 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹16,990","₹22,990",26% off
416,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"5,271 Ratings",346 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
417,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"19,653 Ratings","1,211 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
418,Whirlpool,236 L,Single Door, Direct Cool,3 Star,no,3.5,"65,317 Ratings","4,293 Reviews",Linear Compressor,yes,1 Year, 9 ,"₹21,890","₹29,500",25% off
419,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.9,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹14,590","₹20,999",30% off
420,CANDY,240 L,Double Door,,2 Star,no,4.3,16 Ratings,1 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹18,990","₹26,490",28% off
421,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"1,660 Ratings",169 Reviews,,yes,1 Year, 10 ,"₹17,490","₹22,999",23% off
422,Haier,598 L,Triple Door,,,no,5,550 Ratings,82 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹96,990","₹1,49,290",35% off
423,Voltas,200 L,Double Door, Direct Cool,4 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹16,949","₹26,390",35% off
424,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,,0 Reviews,,yes,1 year, 9 ,"₹19,990","₹30,999",35% off
425,Whirlpool,231 L,Double Door,,2 Star,no,4,"1,818 Ratings",149 Reviews,Inverter Compressor,,, 10 ,"₹32,800","₹37,500",12% off
426,CANDY,602 L,,,,no,4.6,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
427,Whirlpool,215 L,Triple Door,,,no,4.3,853 Ratings,88 Reviews,VarioInverter Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
428,BOSCH,195 L,Single Door, Direct Cool,4 Star,no,,"1,818 Ratings",149 Reviews,DC Inverter Compressor,yes,1 Year, 10 ,"₹25,490",,
429,Whirlpool,184 L,Single Door, Direct Cool,4 Star,no,4.5,"3,566 Ratings",237 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹15,890","₹20,350",21% off
430,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"12,919 Ratings",878 Reviews,Normal Compressor,,, 10 ,"₹11,690","₹24,990",53% off
431,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,790","₹17,000",24% off
432,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"5,271 Ratings",346 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
433,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
434,LG,190 L,Single Door, Direct Cool,3 Star,no,4.4,"13,765 Ratings","1,151 Reviews",IntelliSense Inverter Compressor,yes,1 Year, 9 ,"₹19,152","₹19,650",2% off
435,Whirlpool,205 L,Single Door, Direct Cool,5 Star,no,4.3,"25,002 Ratings","2,543 Reviews",Inverter Compressor,,, 10 ,"₹18,490","₹24,050",23% off
436,CANDY,602 L,,,,no,4.6,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
437,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"34,048 Ratings","2,886 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹16,490","₹21,450",23% off
438,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,no,4.8,"65,317 Ratings","4,293 Reviews",Normal Compressor,yes,1 year, 10 ,"₹18,900","₹23,990",21% off
439,Lloyd,188 L,Single Door, Direct Cool,1 Star,no,,"19,653 Ratings","1,211 Reviews",,yes,1 Year, 10 ,"₹14,089","₹16,990",17% off
440,Voltas,228 L,Double Door,,3 Star,no,4.1,594 Ratings,46 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹22,390","₹39,490",43% off
441,Lloyd,280 L,Double Door,,2 Star,no,,,1 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹28,990","₹46,490",37% off
442,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"3,566 Ratings",237 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹15,490","₹21,750",28% off
443,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,"3,412 Ratings",388 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹14,990","₹20,500",26% off
444,Whirlpool,215 L,Triple Door,,,no,4.3,"5,271 Ratings",346 Reviews,,yes,1 Year, 10 ,"₹26,350","₹31,599",16% off
445,Voltas,248 L,Double Door,,3 Star,no,4.1,"12,919 Ratings",878 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹49,999",,
446,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"1,214 Ratings",116 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹9,990","₹13,490",25% off
447,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"2,836 Ratings",310 Reviews,,yes,,,"₹17,990","₹21,999",18% off
448,ONIDA,195 L,Single Door, Direct Cool,2 Star,no,4.5,"65,317 Ratings","4,293 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹12,979","₹20,490",36% off
449,Voltas,173 L,Double Door, Direct Cool,2 Star,no,4.3,"12,378 Ratings","1,229 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹14,490","₹22,999",36% off
450,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"1,773 Ratings",158 Reviews,Digital Inverter Compressor,yes,1 Year, 20 ,"₹17,490","₹22,999",23% off
451,SAMSUNG,256 L,Double Door,,2 Star,no,,"13,765 Ratings","1,151 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹29,919","₹36,990",19% off
452,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,,0 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹19,990","₹30,999",35% off
453,Whirlpool,215 L,Triple Door,,,no,4.3,550 Ratings,82 Reviews,Normal Compressor,,, 10 ,"₹23,990","₹30,150",20% off
454,Whirlpool,184 L,Single Door, Direct Cool,4 Star,no,4.3,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹14,990","₹19,000",21% off
455,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,32 Ratings,8 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹24,999",28% off
456,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,10 Ratings,0 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
457,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"5,271 Ratings",346 Reviews,Smart Inverter Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
458,LG,272 L,Double Door,,2 Star,no,4.2,"19,653 Ratings","1,211 Reviews",Smart Inverter Compressor,yes,1 Year, 10 ,"₹28,990","₹37,099",21% off
459,LG,655 L,,,,yes,4.9,,1 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹91,490","₹1,50,699",39% off
460,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"3,118 Ratings",333 Reviews,Smart Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
461,LG,322 L,Double Door,,2 Star,no,4.5,"65,317 Ratings","4,293 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹35,990","₹46,199",22% off
462,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,19 Ratings,3 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
463,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"19,653 Ratings","1,211 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
464,Haier,190 L,Single Door, Direct Cool,2 Star,no,,"3,566 Ratings",237 Reviews,IntelliSense Inverter Compressor,yes,1 Year, 10 ,"₹15,599","₹21,723",28% off
465,Whirlpool,215 L,Single Door, Direct Cool,5 Star,no,4.3,"5,271 Ratings",346 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹26,999",,
466,CANDY,240 L,Double Door,,2 Star,no,4.3,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹18,990","₹26,490",28% off
467,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,156 Ratings,11 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹17,490","₹22,999",23% off
468,Godrej,185 L,Single Door, Direct Cool,4 Star,no,4.3,20 Ratings,1 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹14,490","₹16,490",12% off
469,Whirlpool,235 L,Double Door,,2 Star,no,4.3,"2,836 Ratings",310 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹24,990","₹31,500",20% off
470,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"65,317 Ratings","4,293 Reviews",,,, 9 ,"₹19,990","₹30,999",35% off
471,Electrolux,360 L,Double Door,,1 Star,no,3.7,"13,765 Ratings","1,151 Reviews",Inverter Compressor,,, 10 ,"₹53,490","₹83,990",36% off
472,CANDY,602 L,,,,no,4.6,,1 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
473,Whirlpool,215 L,Triple Door,,,no,4.3,550 Ratings,82 Reviews,Advanced Inverter Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
474,realme,631 L,,,,no,4.3,"25,002 Ratings","2,543 Reviews",,,,,"₹60,990","₹99,990",39% off
475,Godrej,99 L,Single Door, Direct Cool,1 Star,no,3.8,22 Ratings,2 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹11,482","₹14,424",20% off
476,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"5,271 Ratings",346 Reviews,Normal Compressor,,, 10 ,"₹11,690","₹24,990",53% off
477,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,32 Ratings,3 Reviews,,yes,, 8 ,"₹12,790","₹17,000",24% off
478,Liebherr,310 L,Double Door,,2 Star,no,4.8,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹42,390","₹64,990",34% off
479,SAMSUNG,198 L,Single Door, Direct Cool,5 Star,no,4.4,"7,898 Ratings",461 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,700","₹20,990",15% off
480,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"8,273 Ratings",838 Reviews,,,,,"₹16,390","₹22,999",28% off
481,BOSCH,303 L,Triple Door,,,no,4.2,,0 Reviews,Normal Compressor,,, 10 ,"₹36,990","₹59,390",37% off
482,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
483,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"3,566 Ratings",237 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
484,SAMSUNG,183 L,Single Door, Direct Cool,3 Star,no,,11 Ratings,3 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹15,700","₹19,999",21% off
485,Voltas,185 L,Single Door, Direct Cool,5 Star,no,,"1,872 Ratings",198 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹19,935","₹32,390",38% off
486,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
487,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"5,271 Ratings",346 Reviews,,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
488,Whirlpool,215 L,Triple Door,,,no,4.2,"5,271 Ratings",346 Reviews,Digital Inverter Compressor,yes,1 Year, 20 ,"₹26,390","₹38,650",31% off
489,SAMSUNG,183 L,Single Door, Direct Cool,3 Star,no,4.2,"13,390 Ratings","1,111 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹15,990","₹21,999",27% off
490,CANDY,240 L,Double Door,,2 Star,no,4.3,"2,836 Ratings",310 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹18,990","₹26,490",28% off
491,Voltas,185 L,Single Door, Direct Cool,5 Star,no,,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹19,900","₹32,390",38% off
492,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,,1 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
493,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,156 Ratings,11 Reviews,,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
494,Haier,240 L,Double Door,,2 Star,no,4.5,"7,091 Ratings",497 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹24,999","₹36,700",31% off
495,Voltas,185 L,Single Door, Direct Cool,4 Star,no,,20 Ratings,1 Reviews,Inverter Compressor,,, 10 ,"₹18,100","₹30,790",41% off
