,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
219,Voltas,340 L,Double Door,,2 Star,no,4.1,"1,818 Ratings",149 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹30,990","₹45,290",31% off
220,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹16,490","₹21,450",23% off
221,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,2 Years, 10 ,"₹15,490","₹21,750",28% off
222,Godrej,244 L,Double Door,,2 Star,no,4.3,300 Ratings,25 Reviews,Digital Inverter Compressor,yes,1 Year, 20 ,"₹23,990","₹34,990",31% off
223,SAMSUNG,291 L,Double Door,,2 Star,no,4.3,621 Ratings,50 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹31,990","₹49,990",36% off
224,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,233 Ratings,21 Reviews,Reciprocating Compressor,yes,3 Years, 5 ,"₹14,990","₹20,500",26% off
225,Admiral,165 L,Single Door, Direct Cool,2 Star,no,4.1,"3,566 Ratings",237 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹8,790","₹17,999",51% off
226,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹9,990","₹13,490",25% off
227,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"12,902 Ratings",940 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
228,SAMSUNG,183 L,Single Door, Direct Cool,2 Star,yes,4.4,"5,456 Ratings",446 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹13,990","₹17,999",22% off
229,Voltas,183 L,Single Door, Direct Cool,5 Star,no,4.4,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹15,790","₹29,290",46% off
230,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"13,765 Ratings","1,151 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
231,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,179 Ratings,18 Reviews,,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
232,Voltas,248 L,Double Door,,3 Star,no,4.4,"1,818 Ratings",149 Reviews,,yes,2 Years, 12 ,"₹23,990","₹43,990",45% off
233,Voltas,432 L,Double Door,,2 Star,no,4.1,"25,002 Ratings","2,543 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹37,990","₹59,990",36% off
234,Whirlpool,215 L,Triple Door,,,no,4.3,"2,159 Ratings",142 Reviews,Digital Inverter Compressor,yes,1 Year, 20 ,"₹23,990","₹30,150",20% off
235,SAMSUNG,653 L,,,5 Star,no,4.3,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹99,990","₹1,50,000",33% off
236,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Normal Compressor,,, 10 ,"₹12,590","₹25,990",51% off
237,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"16,183 Ratings","1,243 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
238,Haier,190 L,Single Door, Direct Cool,5 Star,no,4.4,"5,456 Ratings",446 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹16,890","₹26,590",36% off
239,Voltas,183 L,Single Door, Direct Cool,4 Star,no,4.4,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹14,990","₹25,890",42% off
240,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"19,653 Ratings","1,211 Reviews",Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
241,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,,2 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
242,Panasonic,257 L,Double Door,,3 Star,no,4.5,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹27,790","₹35,500",21% off
243,Voltas,183 L,Single Door, Direct Cool,4 Star,no,4.3,"3,566 Ratings",237 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹14,690","₹27,890",47% off
244,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,54 Ratings,3 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
245,Godrej,202 L,Single Door, Direct Cool,5 Star,no,4.2,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹18,290","₹27,490",33% off
246,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"13,765 Ratings","1,151 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
247,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹19,990","₹30,999",35% off
248,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,"25,002 Ratings","2,543 Reviews",,,,,"₹17,990","₹23,100",22% off
